epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2014.18,1.3421,0.71461,1.48489,0.98194,0.91358,0.96734,0.61384,1.29913,0.73079,1.61774,0.000416,0.000416,0.000416
46,2066.53,1.29718,0.77344,1.54605,0.96487,0.92324,0.96561,0.60427,1.34837,0.74328,1.62273,0.00038,0.00038,0.00038
47,2111.71,1.27057,0.72401,1.49905,0.96826,0.91597,0.95844,0.60136,1.31429,0.7106,1.61009,0.000344,0.000344,0.000344
48,2158.04,1.27269,0.70202,1.48256,0.99081,0.90587,0.95789,0.61209,1.32005,0.67852,1.60846,0.000308,0.000308,0.000308
49,2198.79,1.27387,0.69507,1.49246,0.94975,0.95296,0.96847,0.61285,1.31849,0.67205,1.61168,0.000272,0.000272,0.000272
50,2240.6,1.22172,0.68956,1.45262,0.98225,0.92999,0.97218,0.61433,1.31048,0.6705,1.59172,0.000236,0.000236,0.000236
51,2285.91,1.26355,0.68392,1.50875,0.982,0.91713,0.9721,0.61001,1.31005,0.67125,1.60191,0.0002,0.0002,0.0002
52,2331.04,1.22697,0.6555,1.46345,0.97951,0.91597,0.97173,0.61911,1.25999,0.64724,1.57621,0.000164,0.000164,0.000164
53,2372.34,1.21822,0.66593,1.47322,0.97954,0.92437,0.97146,0.62316,1.24666,0.64537,1.56291,0.000128,0.000128,0.000128
54,2414.34,1.19866,0.65184,1.43847,0.98211,0.92242,0.97157,0.6254,1.25527,0.65264,1.56174,9.2e-05,9.2e-05,9.2e-05
55,2459.75,1.22679,0.67218,1.45123,0.9853,0.91597,0.97261,0.62958,1.27259,0.64808,1.56288,5.6e-05,5.6e-05,5.6e-05
